Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/19/20 11:07,Santee,CA,Unknown,00:05,"Three separate fast moving objects left a trail behind them from 22,000 to about 5,000 feet and began to group together",2/25/20,Sighting
2/19/20 06:00,Chehalis,WA,Light,,A string of lights equally apart moving fast in a line.,2/25/20,Sighting
2/19/20 05:55,Everett,WA,,~2 minutes,"10-15 bright objects flying in a straight line from west to east. ((""Starlink"" satellites??))",2/25/20,Sighting
2/19/20 05:45,Ritzville,WA,Formation,10 minutes,"String of 40-50 lights observed traveling west to east in the early morning sky. ((""Starlink"" satellites??))",2/25/20,Sighting
2/19/20 05:45,Gresham,OR,Light,3 minutes,"String of 10 or more satellites traveling in a row. ((""Starlink"" satellites??))",2/25/20,Sighting
2/19/20 05:45,Woodinville,WA,Circle,20 minutes,"Observed 12 objects, evenly spaced in a linear path, moving ENE over Snohomish Co.. ((""Spacelink"" satellites??))",2/25/20,Sighting
2/19/20 05:40,Pasco,WA,Light,20 minutes,Lights looking like satellites going follow the leader style from South West to North East comparably to circling the eartg. We have mi,2/25/20,Sighting
2/19/20 05:30,Nashville,MI,Light,3-5 minutes,"Line of 8-9 lights emulating from a specific location in the sky. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 23:30,Archie,MO,Rectangle,<1 minute,2 Huge UFOS heading northeast of Archie flying very low. (anonymous report)),2/25/20,Sighting
2/18/20 23:30,Stockton,CA,Light,30 seconds,Bright mini colored Blobs of light flying across the sky,2/25/20,Sighting
2/18/20 22:15,Sutton,MA,Formation,1 minutes,Saw many oval lights in the night sky and then disappear.,2/25/20,Sighting
2/18/20 21:00,Fredrickson,WA,Triangle,3 minutes,Black triangle flying towards Joint Base Lewis McCord in WA.,2/25/20,Sighting
2/18/20 20:45,Bellevue,OH,Circle,,Round objects appeared and zoomed off,2/25/20,Sighting
2/18/20 20:45,Battle creek,MI,Triangle,3 minutes,"Triangle with a white light on the far corners, red on the front angle the craft was travelling. Noticed from a distance, was standing",2/25/20,Sighting
2/18/20 20:30,Kailua Kona,HI,Other,1 minute,"20-25 lights, at first mistaken for stars, headed in a straight line, southeast bound. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 19:30,Denver,CO,Unknown,,It looked like a bug bright star until I git closer.The object started moving so I started recording this object in the sky it stoo,2/25/20,Sighting
2/18/20 19:20,Plymouth Township,MI,Triangle,60 seconds+,Large dark airborne object with 4 bright lights that formed triangle shape hovering with no sound Apx 40+ stories in air.,2/25/20,Sighting
2/18/20 11:37,Limerick,PA,Sphere,15 seconds,Just before lunch looked toward sky and noticed a jet in full afterburner with a white sphere infront. The white sphere was pulling on,2/25/20,Sighting
2/18/20 11:30,New York City (Brooklyn),NY,Other,20 minutes,It made a helicopter sound although it was mainly in one place and not flying I have a video as well.,2/25/20,Sighting
