Date / Time,City,State,Shape,Duration,Summary,Posted,Type,text,Lat,Lng
2/19/20 20:00,Boise,ID,Light,10 minutes,9 craft one after the other looked like a satellite at first.,2/25/20,Sighting,Sighting : Boise,43.6150186,-116.2023137
2/19/20 19:11,Cleveland,OH,Circle,2 hours,Brighter then the planet Jupiter,2/25/20,Sighting,Sighting : Cleveland,41.49932,-81.6943605
2/19/20 19:00,Jacksonville,OR,Light,10 minutes,"Multiple satellite looking objects with up to 5 in a row evenly spaced. ((""Spacelink"" satellites??))",2/25/20,Sighting,Sighting : Jacksonville,42.31345839999999,-122.9669865
2/19/20 15:50,Hoover,AL,Triangle,45,Driving down highway 150 saw a bright triangle with lights in the points and one extra in the middle of the back. Sat still over the gr,2/25/20,Sighting,Sighting : Hoover,33.4053867,-86.8113781
2/19/20 11:07,Apple Valley,CA,Disk,7 minutes,"I was looking up North for a very loud fighter jet, bus instead i seen 11 disk flying east moving slow and exchanging places one would",2/25/20,Sighting,Sighting : Apple Valley,34.5008311,-117.1858759
2/19/20 11:07,Santee,CA,Unknown,00:05,"Three separate fast moving objects left a trail behind them from 22,000 to about 5,000 feet and began to group together",2/25/20,Sighting,Sighting : Santee,32.8383828,-116.9739167
2/19/20 06:00,Chehalis,WA,Light,,A string of lights equally apart moving fast in a line.,2/25/20,Sighting,Sighting : Chehalis,46.6652443,-122.9698002
2/19/20 05:55,Everett,WA,,~2 minutes,"10-15 bright objects flying in a straight line from west to east. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Everett,47.9789848,-122.2020795
2/19/20 05:45,Ritzville,WA,Formation,10 minutes,"String of 40-50 lights observed traveling west to east in the early morning sky. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Ritzville,47.1273723,-118.3799751
2/19/20 05:45,Gresham,OR,Light,3 minutes,"String of 10 or more satellites traveling in a row. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Gresham,45.5098502,-122.4347608
2/19/20 05:45,Woodinville,WA,Circle,20 minutes,"Observed 12 objects, evenly spaced in a linear path, moving ENE over Snohomish Co.. ((""Spacelink"" satellites??))",2/25/20,Sighting,Sighting : Woodinville,47.7542651,-122.1634581
2/19/20 05:40,Pasco,WA,Light,20 minutes,Lights looking like satellites going follow the leader style from South West to North East comparably to circling the eartg. We have mi,2/25/20,Sighting,Sighting : Pasco,46.2305049,-119.0922316
2/19/20 05:30,Nashville,MI,Light,3-5 minutes,"Line of 8-9 lights emulating from a specific location in the sky. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Nashville,42.6028137,-85.0930536
2/18/20 23:30,Archie,MO,Rectangle,<1 minute,2 Huge UFOS heading northeast of Archie flying very low. (anonymous report)),2/25/20,Sighting,Sighting : Archie,38.4816813,-94.3543928
2/18/20 23:30,Stockton,CA,Light,30 seconds,Bright mini colored Blobs of light flying across the sky,2/25/20,Sighting,Sighting : Stockton,37.9577016,-121.2907796
2/18/20 22:15,Sutton,MA,Formation,1 minutes,Saw many oval lights in the night sky and then disappear.,2/25/20,Sighting,Sighting : Sutton,42.1500353,-71.7632878
2/18/20 21:00,Fredrickson,WA,Triangle,3 minutes,Black triangle flying towards Joint Base Lewis McCord in WA.,2/25/20,Sighting,Sighting : Fredrickson,47.0962112,-122.3587307
2/18/20 20:45,Bellevue,OH,Circle,,Round objects appeared and zoomed off,2/25/20,Sighting,Sighting : Bellevue,41.2736647,-82.8415763
2/18/20 20:45,Battle creek,MI,Triangle,3 minutes,"Triangle with a white light on the far corners, red on the front angle the craft was travelling. Noticed from a distance, was standing",2/25/20,Sighting,Sighting : Battle creek,42.3211522,-85.17971419999999
2/18/20 20:30,Kailua Kona,HI,Other,1 minute,"20-25 lights, at first mistaken for stars, headed in a straight line, southeast bound. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Kailua Kona,19.639994,-155.9969261
2/18/20 19:30,Denver,CO,Unknown,,It looked like a bug bright star until I git closer.The object started moving so I started recording this object in the sky it stoo,2/25/20,Sighting,Sighting : Denver,39.7392358,-104.990251
2/18/20 19:20,Plymouth Township,MI,Triangle,60 seconds+,Large dark airborne object with 4 bright lights that formed triangle shape hovering with no sound Apx 40+ stories in air.,2/25/20,Sighting,Sighting : Plymouth Township,42.3735328,-83.5090381
2/18/20 11:37,Limerick,PA,Sphere,15 seconds,Just before lunch looked toward sky and noticed a jet in full afterburner with a white sphere infront. The white sphere was pulling on,2/25/20,Sighting,Sighting : Limerick,40.2383606,-75.5393155
2/18/20 11:30,New York City (Brooklyn),NY,Other,20 minutes,It made a helicopter sound although it was mainly in one place and not flying I have a video as well.,2/25/20,Sighting,Sighting : New York City (Brooklyn),40.6781784,-73.9441579
2/18/20 05:25,Eugene,OR,Light,15,"Symetrical line of lights moving southwest to northeast. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Eugene,44.0520691,-123.0867536
2/18/20 05:20,Wilderville,OR,Unknown,~ 5 minutes,"multiple pinpoint lights (satellite type) emanating every 2-3 seconds from one point. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Wilderville,42.382338,-123.4670077
2/18/20 05:15,Oak bluffs,MA,Light,1,15+ UFOs seen flying slowly East to west in a straight line. 15 were counted .,2/25/20,Sighting,Sighting : Oak bluffs,41.4542793,-70.5619724
2/18/20 05:15,Los Angeles,CA,Circle,~10 minutes,"Three dim objects moving in the same direction at different times. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Los Angeles,34.0522342,-118.2436849
2/18/20 05:08,Medford,OR,Oval,8-10 minutes,"4 light cross sky lead light fade away back light fade in another light , happen 37 times. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Medford,42.3265152,-122.8755949
2/18/20 05:00,Grants Pass,OR,Light,15 minutes,Stream of moving lights in the sky just north of Grants Pass,2/25/20,Sighting,Sighting : Grants Pass,42.4390069,-123.3283925
2/18/20 04:15,Everett,WA,Other,5 minutes,hyway 9 to Granite Falls Wa,2/25/20,Sighting,Sighting : Everett,47.9789848,-122.2020795
2/17/20 21:55,Prescott Valley,AZ,Disk,2 minutes,"Saucer-shaped object with blinking, rotating lights sighted in Prescott Valley. Vanished after minute or so.",2/25/20,Sighting,Sighting : Prescott Valley,34.6100243,-112.315721
2/17/20 21:55,Prescott Valley,AZ,Oval,30 seconds,Oval object with white blinking rotating lights. After 30 seconds it veered and vanished.,2/25/20,Sighting,Sighting : Prescott Valley,34.6100243,-112.315721
2/17/20 21:35,Yonkers,NY,Cigar,20 seconds,Straight Line of Lights disappears and reappears while zig zagging across the sky,2/25/20,Sighting,Sighting : Yonkers,40.9312099,-73.89874689999999
